id,class
0,1
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,0
446,0
447,0
448,1
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,1
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,1
517,0
518,1
519,0
520,1
521,0
522,0
523,1
524,1
525,0
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,0
540,1
541,0
542,1
543,1
544,1
545,0
546,0
547,1
548,1
549,1
550,0
551,0
552,0
553,0
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,0
575,0
576,1
577,0
578,1
579,1
580,0
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,0
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,1
645,0
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,1
674,1
675,1
676,1
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,1
698,1
699,1
700,1
701,0
702,0
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,1
721,1
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,0
730,1
731,1
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,0
752,1
753,0
754,0
755,1
756,0
757,1
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,0
770,0
771,1
772,1
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,0
810,1
811,1
812,1
813,1
814,1
815,0
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,0
831,1
832,1
833,1
834,1
835,0
836,1
837,0
838,1
839,0
840,1
841,0
842,0
843,1
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,1
857,1
858,0
859,0
860,0
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,1
872,1
873,0
874,1
875,0
876,0
877,1
878,0
879,0
880,0
881,1
882,1
883,0
884,1
885,1
886,1
887,1
888,1
889,0
890,0
891,1
892,0
893,1
894,1
895,1
896,0
897,0
898,1
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,1
907,1
908,0
909,0
910,1
911,0
912,0
913,0
914,1
915,1
916,1
917,1
918,0
919,1
920,0
921,1
922,1
923,0
924,1
925,1
926,1
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,1
935,1
936,0
937,1
938,0
939,1
940,0
941,0
942,0
943,1
944,1
945,0
946,0
947,1
948,1
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,1
957,1
958,1
959,1
960,1
961,0
962,0
963,1
964,0
965,0
966,1
967,0
968,1
969,1
970,1
971,0
972,1
973,1
974,0
975,1
976,1
977,0
978,1
979,1
980,1
981,1
982,0
983,0
984,1
985,0
986,1
987,1
988,0
989,1
990,1
991,1
992,0
993,1
994,1
995,0
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,1
1029,0
1030,1
1031,1
1032,0
1033,1
1034,1
1035,1
1036,0
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,0
1057,1
1058,0
1059,0
1060,1
1061,1
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,0
1070,1
1071,1
1072,1
1073,1
1074,1
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,1
1082,0
1083,0
1084,1
1085,0
1086,1
1087,0
1088,1
1089,1
1090,1
1091,1
1092,0
1093,0
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,1
1106,1
1107,0
1108,0
1109,1
1110,1
1111,0
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,1
1119,0
1120,0
1121,1
1122,0
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,0
1138,1
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,0
1161,1
1162,0
1163,0
1164,0
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,0
1173,0
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,1
1195,0
1196,1
1197,0
1198,0
1199,0
1200,0
1201,1
1202,1
1203,1
1204,0
1205,1
1206,1
1207,1
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,0
1220,0
1221,1
1222,0
1223,1
1224,1
1225,0
1226,1
1227,1
1228,1
1229,0
1230,0
